51197.150879 62.04093202693051267715 0.00000000450901124065 -199255.853812 1.714496 1.046767 0.386555 0.000000 0.000000 51197.149879 51262.693953 11 89.562 0.662 
51203.458942 62.04082342940137806409 0.00000000394079298169 -199244.787554 12.102669 1.046767 0.386555 0.000000 0.000000 51197.149879 51220.458971 6 47.817 0.254 
51204.720555 62.04080171226306106291 0.00000000449703542801 -199245.706192 13.509243 1.046767 0.386555 0.000000 0.000000 51197.455747 51220.458971 5 46.270 0.302 
51232.210680 62.04032849596834608974 0.00000000137260546982 -199225.003066 2.289186 1.046767 0.386555 0.000000 0.000000 51198.346764 51262.693953 9 97.868 0.813 
51262.692953 62.03980384169913264714 0.00000000537011885648 -199196.577101 1.714496 1.046767 0.386555 0.000000 0.000000 51197.149879 51262.693953 11 89.563 0.662 
51294.143021 62.03930473425700853340 0.00000000139227838541 -199279.737681 0.123196 0.488868 0.006968 0.000000 0.000000 51294.142021 51546.688711 33 208.551 3.378 
51309.847392 62.03903438136590153817 0.00000000995798111647 -199306.538001 19.381008 0.488868 0.006968 0.000000 0.000000 51294.142021 51319.323444 5 78.349 1.399 
51317.630552 62.03890036147153352886 0.00000000968091032307 -199274.967001 23.855683 0.488868 0.006968 0.000000 0.000000 51310.664048 51333.059820 5 74.246 1.296 
51324.092970 62.03878909121011275829 0.00000000556458670916 -199280.845992 14.445242 0.488868 0.006968 0.000000 0.000000 51311.602525 51342.978138 5 93.721 1.416 
51331.621804 62.03865946385135288210 0.00000000157513511766 -199281.007479 4.518785 0.488868 0.006968 0.000000 0.000000 51313.501922 51349.248694 5 40.670 0.252 
51342.159245 62.03847804040370306211 0.00000000143530444535 -199266.911128 2.153546 0.488868 0.006968 0.000000 0.000000 51319.321444 51366.191126 5 41.781 0.322 
51351.712087 62.03831357361279685847 0.00000000197059843733 -199255.162888 5.919169 0.488868 0.006968 0.000000 0.000000 51333.057820 51367.087656 5 46.302 0.382 
51358.971074 62.03818860171163862560 0.00000000374309547257 -199266.082139 12.405081 0.488868 0.006968 0.000000 0.000000 51342.976138 51369.354755 5 44.812 0.461 
51365.485878 62.03807644520470176985 0.00000000858296971416 -199255.843351 14.962008 0.488868 0.006968 0.000000 0.000000 51349.246694 51375.552160 5 52.875 0.573 
51373.475288 62.03793891013332029161 0.00000000705356326167 -199225.413140 16.735536 0.488868 0.006968 0.000000 0.000000 51366.189126 51389.195744 5 46.707 0.498 
51381.422834 62.03780210459881772067 0.00000000308960873556 -199239.547739 5.264315 0.488868 0.006968 0.000000 0.000000 51367.085656 51405.928854 5 65.449 0.737 
51392.597517 62.03760974345627232651 0.00000000038868194237 -199235.606719 0.569204 0.488868 0.006968 0.000000 0.000000 51369.352755 51422.961070 5 14.706 0.039 
51403.318780 62.03742519011672840179 0.00000000050013201228 -199230.397435 0.952404 0.488868 0.006968 0.000000 0.000000 51375.550160 51422.961070 5 15.122 0.032 
51412.854622 62.03726104736490043479 0.00000000031444666378 -199224.668813 0.500302 0.488868 0.006968 0.000000 0.000000 51389.193744 51423.231370 5 4.954 0.004 
51422.402864 62.03709668870282456510 0.00000000325774898109 -199227.547957 5.736020 0.488868 0.006968 0.000000 0.000000 51405.926854 51432.091431 7 43.046 0.205 
51427.519871 62.03700860797407301561 0.00000000542521224250 -199219.605484 13.021572 0.488868 0.006968 0.000000 0.000000 51422.959070 51441.747906 7 44.035 0.200 
51429.343791 62.03697721543833409896 0.00000000556942522911 -199222.902195 17.898660 0.488868 0.006968 0.000000 0.000000 51423.229370 51441.747906 5 46.510 0.332 
51437.280528 62.03684060449125325931 0.00000000146844685429 -199220.289392 2.208129 0.488868 0.006968 0.000000 0.000000 51423.821000 51462.915055 5 27.443 0.107 
51448.577077 62.03664616275535337309 0.00000000040375599267 -199214.355266 0.540828 0.488868 0.006968 0.000000 0.000000 51425.828250 51480.305743 5 12.517 0.021 
51459.635269 62.03645583142478869831 0.00000000111370346802 -199208.806485 2.484274 0.488868 0.006968 0.000000 0.000000 51432.089431 51481.121212 5 40.933 0.305 
51469.883887 62.03627942978060616497 0.00000000919212074404 -199213.084196 13.354746 0.488868 0.006968 0.000000 0.000000 51441.745906 51483.334521 5 140.591 4.177 
51479.471411 62.03611441625878342165 0.00000001349902805427 -199207.942386 25.383321 0.488868 0.006968 0.000000 0.000000 51462.913055 51489.685526 5 141.450 4.479 
51487.702753 62.03597274226275004594 0.00000001550906115000 -199181.125475 34.473847 0.488868 0.006968 0.000000 0.000000 51480.303743 51504.071765 5 133.831 4.016 
51495.638889 62.03583616447536996930 0.00000000776773983905 -199187.606501 15.926467 0.488868 0.006968 0.000000 0.000000 51481.119212 51519.986419 5 148.639 4.210 
51521.780924 62.03538625828379338145 0.00000000239311296537 -199189.399985 2.804786 0.488868 0.006968 0.000000 0.000000 51483.332521 51546.688711 9 113.867 1.136 
51546.687711 62.03495764180757987560 0.00000000139029835102 -199173.067452 0.123196 0.488868 0.006968 0.000000 0.000000 51294.142021 51546.688711 33 208.566 3.378 
51576.617245 62.03447035029830658459 0.00000000244887750201 -199308.828009 0.401736 0.754514 0.043706 0.000000 0.000000 51576.616245 51705.199018 18 130.549 1.738 
51608.036353 62.03392932814560367660 0.00000000197146762076 -199299.613674 3.451934 0.754514 0.043706 0.000000 0.000000 51576.616245 51629.045893 5 69.836 1.017 
51618.653744 62.03374649793823891741 0.00000000274475945303 -199302.167587 3.130302 0.754514 0.043706 0.000000 0.000000 51589.442801 51629.705201 5 33.135 0.207 
51628.888710 62.03357029634639019378 0.00000000472319816545 -199226.416029 10.972007 0.754514 0.043706 0.000000 0.000000 51616.299424 51638.303892 6 55.857 0.387 
51634.263080 62.03347778208394913690 0.00000000738282384628 -199296.520285 17.504043 0.754514 0.043706 0.000000 0.000000 51628.774400 51648.547641 6 53.724 0.424 
51635.360616 62.03345888876059177619 0.00000000535495170663 -199306.951363 14.657028 0.754514 0.043706 0.000000 0.000000 51629.043893 51648.547641 5 37.864 0.244 
